TForm30	20	Form30 | Você foi convidado pelos seguintes clubes para ser técnico: | Convite para ser técnico | Emmanuel dos Santos | Você foi convidado pelos seguintes clubes para ser técnico:	Form30.OnClose=FormClose | Form30.OnCreate=FormCreate | Form30.OnKeyDown=FormKeyDown | Form30.OnPaint=FormPaint | Form30.OnShow=FormShow | r1.OnClick=r1Click | r2.OnClick=r1Click | r3.OnClick=r1Click | r4.OnClick=r1Click | bt3.OnClick=bt3Click | XiButton1.OnClick=XiButton1Click | bt2.OnClick=bt2Click
TForm31	11	Form31 | Demitido! | Espere agora que outro time resolva contrata-lo. | A | Emmanuel dos Santos, o Cruzeiro resolveu lhe demitir, a pressão da torcida foi grande pois seus resultados não estavam sendo bons. | Para seu lugar foi contratado | OK	Form31.OnClose=FormClose | Form31.OnCreate=FormCreate | Form31.OnKeyDown=FormKeyDown | Form31.OnPaint=FormPaint | Form31.OnShow=FormShow | xibutton2.OnClick=XiButton2Click
TForm32	51	Form32 | Velocidade do Jogo: | Salvar automaticamente: | Opções | Ver disputas de penaltys não humanas: | Velocidade do jogo sem times humanos: | Mostrar mudança de técnicos: | Cores e sons | Abrir janela de substituições no intervalo: | Receber avisos de término de contratos: | Visualização ligas | Marque as ligas em que os jogos serão mostrados mesmo que não tenham times humanos: | Libertadores: | Liga Campeões: | Liga Africana: | Liga Asiática: | Atualizar automaticamente contratos encerrados | Usar sons nos eventos do jogo | Usar cores na lista de jogadores | Mostrar em negrito os eventos do time da casa | Cor diferente no placar com jogos humanos:	Form32.OnClose=FormClose | Form32.OnCreate=FormCreate | Form32.OnKeyDown=FormKeyDown | Form32.OnPaint=FormPaint | Form32.OnShow=FormShow | Image1.OnClick=Image1Click | Image2.OnClick=XiButton2Click | c1d.OnMouseDown=c1dMouseDown | c2d.OnMouseDown=c2dMouseDown | c3d.OnMouseDown=c3dMouseDown | cksom.OnClick=cksomClick | cknegrito.OnClick=cknegritoClick | ckcor.OnClick=ckcorClick | list1.OnCellClick=list1CellClick | ckcontrato.OnClick=ckcontratoClick | chdestaque.OnClick=chdestaqueClick | ComboBox2.OnChange=ComboBox2Select | ComboBox1.OnChange=ComboBox1Select | ComboBox4.OnChange=ComboBox4Select | combobox7.OnChange=ComboBox7Select | combobox6.OnChange=ComboBox6Select | combobox5.OnChange=ComboBox5Select | ComboBox3.OnChange=ComboBox3Select | combo42.OnChange=combo42Select | combo41.OnChange=combo41Select | combo61.OnChange=combo61Select | combo62.OnChange=combo62Select
TForm33	3	Form33 | Button1	Button1.OnClick=Button1Click
TForm34	17	Form34	Form34.OnClose=FormClose | Form34.OnCreate=FormCreate | Form34.OnKeyDown=FormKeyDown | Form34.OnPaint=FormPaint | Form34.OnShow=FormShow | bt1.OnClick=bt1Click | gridview1.OnSelectCell=gridview1SelectCell | Timer1.OnTimer=Timer1Timer | Timer2.OnTimer=Timer2Timer
TForm35	454	Form35 | Tabela Copa do Brasil | 1 | 18 | 15 | 20 | 13 | 22 | 11 | 24 | 9 | 26 | 7 | 28 | 5 | 30 | 3 | 2 | 31 | 16 | 17 | 14 | 19 | 12 | 21 | 10 | 23 | 8 | 25 | 6 | 27 | 4 | 29 | campeão | 32 | 0x0 | 0x0 | 0x0 | 0x0 | 0x0 | 0x0 | 0x0 | 0x0 | 1 | 18 | 15 | 20 | 13 | 22 | 11 | 24 | 9 | 26 | 7 | 28 | 5 | 30 | 3 | 2 | 31 | 16 | 17 | 14 | 19 | 12 | 21 | 10 | 23 | 8 | 25 | 6 | 27 | 4 | 29 | 32 | Copa do Brasil Fase Preliminar | << fase preliminar	Form35.OnClose=FormClose | Form35.OnCreate=FormCreate | Form35.OnKeyDown=FormKeyDown | Form35.OnPaint=FormPaint | Form35.OnShow=FormShow | Label3.OnClick=Label3Click | Image1.OnClick=Image1Click | combopais.OnChange=combopaisChange
TForm36	35	form36 | lab1 | lab1 | lab1 | lab1 | lab1 | lab1 | lab1 | lab1 | lab1 | btteste	Form36.OnClose=FormClose | Form36.OnCreate=FormCreate | Form36.OnKeyDown=FormKeyDown | Form36.OnPaint=FormPaint | Form36.OnShow=FormShow | Image8.OnClick=Image8Click | Image1.OnClick=Image1Click | Image2.OnClick=Image2Click | Image3.OnClick=Image3Click | Image4.OnClick=Image4Click | Image6.OnClick=Image6Click | Image7.OnClick=Image7Click | Image5.OnClick=Image5Click | Image9.OnClick=Image9Click | Image10.OnClick=Image10Click | Image11.OnClick=Image11Click | Image12.OnClick=Image12Click | lab1.OnClick=Image1Click | lab3.OnClick=Image3Click | lab4.OnClick=Image4Click | lab5.OnClick=Image5Click | lab6.OnClick=Image6Click | lab7.OnClick=Image7Click | ld1.OnClick=Image9Click | ld2.OnClick=Image10Click | ld3.OnClick=Image11Click | btteste.OnClick=bttesteClick
TForm37	19	Form37 | Desempate por penaltis - Escolha dos batedores | Jogadores disponíveis: | Batedores na ordem: |  >>	Form37.OnCreate=FormCreate | Form37.OnKeyDown=FormKeyDown | Form37.OnPaint=FormPaint | XiButton2.OnClick=XiButton2Click | btp.OnClick=btpClick | bt1.OnClick=bt1Click
TForm38	20	Form38 | Nome time 1 | Nome time 2 | 0 | 0 | Batedor: | Batedor: | Decisão por Penaltis	Form38.OnClose=FormClose | Form38.OnCreate=FormCreate | Form38.OnKeyDown=FormKeyDown | Form38.OnPaint=FormPaint | Timer1.OnTimer=Timer1Timer | Timer2.OnTimer=Timer2Timer | Timer3.OnTimer=Timer3Timer | Timer4.OnTimer=Timer4Timer | Timer5.OnTimer=Timer5Timer
TForm39	24	Form39 | Selecione os países que vão participar do campeonato: | (o limite para este campeonato é de 1000 clubes, alguns clubes selecionados não serão incluídos) | Campeonato personalizado | (neste tipo de camp. só é disputado a liga e a copa nacional) | Sistema de disputa: | Países com times: | Países selecionados: | 0 | 0 | Times selecionados: | 0 | << Voltar | Continuar >> | Jogar Copa de clubes	Form39.OnClose=FormClose | Form39.OnCreate=FormCreate | Form39.OnPaint=FormPaint | Form39.OnShow=FormShow | XiButton1.OnClick=XiButton1Click | list1.OnCellClick=list1CellClick | bt1.OnClick=bt1Click
